date;ru_exchange;ru_gap;ru_gdp;ru_inflation;ru_interest;ru_m1;us_gap;us_gdp;us_inflation;us_interest;us_m1
2014-01-01;35,2448;0,974610605399769;17311393,60000071;125,57770;5,50;6663100000000;0,978195711470191;4203940,00000003;107,2736069486900;0,12;2,70170e+12
2014-02-01;36,0501;0,965600586955825;18006327,60347209;126,45670;5,50;6699900000000;0,978920442681339;4272375,96302790;107,6702949478460;0,13;2,70620e+12
2014-03-01;35,6871;0,963181303729340;19134502,19278038;127,74660;7,00;6608200000000;0,992831678997041;4348456,16894643;108,3636963983940;0,12;2,77330e+12
2014-04-01;35,6983;0,986576795767476;19044189,40000089;128,89630;7,50;6776800000000;0,989623668407161;4360753,99999967;108,7209448970560;0,12;2,80960e+12
2014-05-01;34,7352;0,967569592001598;19151503,00928843;130,05640;7,50;6763100000000;0,992269465434002;4408536,09127730;109,1006647390230;0,11;2,78220e+12
2014-06-01;33,6306;0,984878377276201;20098219,72908074;130,86270;7,50;6763500000000;1,007250326042041;4492993,41801848;109,3038240264520;0,11;2,82480e+12
2014-07-01;35,7271;0,986103397429671;20544004,19999961;131,50400;8,00;6871200000000;0,993303985167809;4454941,99999983;109,2611743340570;0,13;2,84120e+12
2014-08-01;36,9316;0,967051438634713;20540293,46327782;131,81960;8,00;6964100000000;0,995947746670887;4525162,14714563;109,0786519945610;0,13;2,79020e+12
2014-09-01;39,3866;0,994527359652688;21335371,68893465;132,67640;8,00;6959300000000;0,995648689170468;4529227,35857805;109,1607411874500;0,12;2,83460e+12
2014-10-01;43,3943;1,016233925801535;22130452,90000009;133,76440;8,00;6907600000000;1,006327220321608;4531051,99999990;108,8864990793630;0,12;2,86500e+12
2014-11-01;47,6629;0,974331905786036;21676799,79487199;135,47650;9,50;6920000000000;1,006602126033642;4494468,33333845;108,2985753626940;0,13;2,86110e+12
2014-12-01;56,2584;1,057148267380610;23551814,22616355;139,02600;17,00;7171500000000;0,993744425776289;4439925,85438606;107,6845115119770;0,15;2,99200e+12
2015-01-01;68,9291;0,963779763662938;18467912,80000072;144,37850;17,00;6700300000000;0,982285559125729;4389972,99999984;107,1777597905120;0,16;2,94110e+12
2015-02-01;61,2718;0,954134836952275;18891100,10935454;147,58370;15,00;6671900000000;0,985950769382636;4447778,33434576;107,6432376161110;0,15;2,97960e+12
2015-03-01;58,4643;0,953263561763598;20383849,30734134;149,36950;14,00;6540900000000;0,999874557814569;4528324,14714643;108,2839001997200;0,14;3,02390e+12
2015-04-01;51,7029;0,958737888657089;19751014,99999968;150,05660;14,00;6619600000000;0,998718827501409;4556247,99999953;108,5040276443380;0,13;3,03540e+12
